# compound name, pubchem_id, CNS, xLogP, TPSA, SMILES
        Capecitabine,      60953,      FALSE,    0.600,    121.000, CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
           Captopril,      44093,      FALSE,    0.300,     58.600, C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
       Carbamazepine,       2554,       TRUE,    2.500,     46.300, NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
       Carbenicillin,      20824,      FALSE,    1.100,    149.000, [H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(O)=O)C1=CC=CC=C1)C(O)=O
          Carbetocin,   16681432,      FALSE,   -1.100,    388.000, [H][C@]1(NC(=O)[C@H](CC2=CC=C(OC)C=C2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)[C@@H](C)CC
           Carbidopa,      34359,       TRUE,   -2.200,    116.000, O.C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
         Carbimazole,      31072,      FALSE,    0.700,     64.900, CCOC(=O)N1C=CN(C)C1=S
       Carbinoxamine,       2564,      FALSE,    2.900,     25.400, CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
         Carfilzomib,   11556711,      FALSE,    4.700,    159.000, CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
        Carisoprodol,       2576,       TRUE,    1.900,     90.600, CCCC(C)(COC(N)=O)COC(=O)NC(C)C
          Carmustine,       2578,      FALSE,    1.500,     61.800, ClCCNC(=O)N(CCCl)N=O
        Carphenazine,      18104,      FALSE,    3.100,     72.300, CCC(=O)C1=CC2=C(SC3=C(C=CC=C3)N2CCN2CCN(CCO)CC2)C=C1
           Carprofen,       2581,      FALSE,    4.000,     53.100, CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1
           Carteolol,       2583,      FALSE,    1.000,     70.600, CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2
          Carvedilol,       2585,      FALSE,    4.200,     75.700, COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
         Cefacetrile,      91562,      FALSE,   -0.500,    162.000, [H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CC#N)C(O)=O
            Cefaclor,      51039,      FALSE,   -1.800,    138.000, [H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
          Cefadroxil,      47965,      FALSE,   -2.100,    158.000, [H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
           Cefalotin,       6024,      FALSE,   -0.400,    167.000, [H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CS1)C(O)=O
         Cefamandole,     456255,      FALSE,   -0.900,    201.000, [H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O
           Cefazolin,      33255,      FALSE,   -0.400,    235.000, [H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O
         Cefmetazole,      42008,      FALSE,   -0.600,    239.000, [H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
           Cefonicid,      43594,      FALSE,   -1.900,    264.000, [H][C@]12SCC(CSC3=NN=NN3CS(O)(=O)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O
        Cefoperazone,      44187,      FALSE,   -0.700,    271.000, [H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O
          Ceforanide,      43507,      FALSE,   -3.200,    244.000, [H][C@]12SCC(CSC3=NN=NN3CC(O)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1CN)C(O)=O
           Cefotetan,      53025,      FALSE,    0.100,    321.000, [H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C1SC(S1)=C(C(N)=O)C(O)=O)OC)C(O)=O
            Cefotiam,      43708,      FALSE,   -2.400,    251.000, [H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
           Cefoxitin,     441199,      FALSE,    0.000,    202.000, [H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@]2(NC(=O)CC1=CC=CS1)OC)C(O)=O
         Cefpiramide,     636405,      FALSE,   -0.100,    259.000, [H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O
           Cefradine,      38103,      FALSE,    0.400,    138.000, [H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O
          Ceftibuten,    5282242,      FALSE,   -0.300,    217.000, [H][C@]12SCC=C(N1C(=O)[C@H]2NC(=O)C(=C/CC(O)=O)\C1=CSC(N)=N1)C(O)=O
           Celecoxib,       2662,       TRUE,    3.400,     86.400, CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
          Cephalexin,      27447,      FALSE,    0.600,    138.000, [H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
       Cephaloglycin,      19150,      FALSE,   -3.000,    164.000, [H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
          Cephapirin,      30699,      FALSE,   -1.100,    177.000, [H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CSC1=CC=NC=C1)C(O)=O
           Cerulenin,    5282054,      FALSE,    0.800,     72.700, CC=CCC=CCCC(=O)[C@H]1O[C@H]1C(N)=O
          Ceruletide,   16129675,      FALSE,   -3.000,    585.000, [H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
          Cetirizine,       2678,      FALSE,    1.700,     53.000, OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
          Cetrorelix,   25074887,      FALSE,    1.900,    498.000, CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
       Chlophedianol,       2795,      FALSE,    3.600,     23.500, CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl
        Chlorambucil,       2708,      FALSE,    1.700,     40.500, OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
     Chloramphenicol,       5959,      FALSE,    1.100,    115.000, OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
    Chlordiazepoxide,       2712,       TRUE,    2.400,     48.200, CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=N(=O)C1
       Chlorhexidine,    9552079,      FALSE,    0.100,    178.000, ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
       Chlormezanone,       2717,      FALSE,    1.100,     62.800, CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O
      Chloroprocaine,       8612,      FALSE,    2.900,     55.600, CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1
      Chloropyramine,      25295,      FALSE,    3.900,     19.400, CN(C)CCN(CC1=CC=C(Cl)C=C1)C1=CC=CC=N1
         Chloroquine,       2719,      FALSE,    4.600,     28.200, CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
      Chlorothiazide,       2720,      FALSE,   -0.200,    135.000, NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1
    Chlorotrianisene,      11289,      FALSE,    6.400,     27.700, COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
          Chloroxine,       2722,      FALSE,    3.500,     33.100, OC1=C(Cl)C=C(Cl)C2=C1N=CC=C2
       Chlorphenesin,       7697,      FALSE,    1.200,     49.700, OCC(O)COC1=CC=C(Cl)C=C1
    Chlorpheniramine,       2725,      FALSE,    3.400,     16.100, CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
      Chlorpromazine,       2726,       TRUE,    5.200,     31.800, CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
      Chlorpropamide,       2727,      FALSE,    2.300,     83.600, CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
      Chlorthalidone,       2732,      FALSE,    0.900,    118.000, NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12
       Chlorzoxazone,       2733,       TRUE,    1.800,     38.300, ClC1=CC2=C(OC(=O)N2)C=C1
     Cholecalciferol,    5280795,      FALSE,    7.900,     20.200, CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
             Choline,        305,       TRUE,   -0.400,     20.200, C[N+](C)(C)CCO
         Ciclesonide,    6918155,      FALSE,    5.300,     99.100, [H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(O2)C1CCCCC1)C(=O)COC(=O)C(C)C
          Ciclopirox,       2749,      FALSE,    2.000,     40.500, CC1=CC(=O)N(O)C(=C1)C1CCCCC1
           Cidofovir,      60613,      FALSE,   -3.600,    146.000, NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1
          Cilastatin,    6435415,      FALSE,   -1.000,    155.000, N[C@@H](CSCCCC\C=C(/NC(=O)[C@H]1CC1(C)C)C(=O)O)C(=O)O
          Cilazapril,      56330,      FALSE,    0.600,     99.200, CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCCN2CCC[C@H](N2C1=O)C(O)=O
          Cilostazol,       2754,      FALSE,    3.100,     81.900, O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2
          Cimetidine,       2756,      FALSE,    0.400,    114.000, C\N=C(\NCCSCC1=C(C)NC=N1)NC#N
          Cinacalcet,     156419,      FALSE,    6.100,     12.000, C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12
          Cinalukast,    6436135,      FALSE,    4.600,    108.000, CCC(CC)(CC(=O)NC1=CC=CC(\C=C\C2=NC(=CS2)C2CCC2)=C1)C(O)=O
         Cinitapride,      68867,      FALSE,    3.600,    113.000, CCOC1=CC(N)=C(C=C1C(=O)NC1CCN(CC2CCC=CC2)CC1)[N+]([O-])=O
         Cinnarizine,    1547484,      FALSE,    5.800,      6.500, C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
         Cinolazepam,    3033621,      FALSE,    2.000,     76.700, OC1N=C(C2=CC=CC=C2F)C2=C(C=CC(Cl)=C2)N(CCC#N)C1=O
           Cinoxacin,       2762,      FALSE,    2.100,     88.400, CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12
       Ciprofloxacin,       2764,      FALSE,   -1.100,     72.900, OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
          Citalopram,       2771,       TRUE,    3.200,     36.300, CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
          Cladribine,      20279,      FALSE,    0.800,    119.000, NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
      Clarithromycin,      84029,      FALSE,    3.200,    183.000, [H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC
         Clavulanate,    5280980,      FALSE,   -1.200,     87.100, [H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO
          Clemastine,      26987,      FALSE,    5.000,     12.500, CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
         Clenbuterol,       2783,      FALSE,    2.200,     58.300, CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1
         Clevidipine,     153994,      FALSE,    4.300,     90.900, CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC
           Clidinium,       2784,      FALSE,    3.300,     46.500, C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
            Clobazam,       2789,       TRUE,    2.100,     40.600, CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O
          Clobetasol,    5311051,      FALSE,    2.500,     74.600, [H][C@@]12C[C@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
        Clocortolone,    5311052,      FALSE,    2.500,     74.600, [H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
          Clodronate,      25419,      FALSE,   -2.100,    115.000, OP(O)(=O)C(Cl)(Cl)P(O)(O)=O
         Clofarabine,     119182,      FALSE,    0.900,    119.000, [H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12
         Clofazimine,       2794,      FALSE,    7.100,     40.000, CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1
          Clofibrate,       2796,      FALSE,    3.300,     35.500, CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
        Clomipramine,       2801,       TRUE,    5.200,      6.500, CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2
        Clomocycline,   54680675,      FALSE,   -1.500,    188.000, [H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(=O)NCO)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC(Cl)=C1[C@@]3(C)O
          Clonazepam,       2802,       TRUE,    2.400,     87.300, [O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
           Clonidine,       2803,       TRUE,    1.600,     36.400, ClC1=CC=CC(Cl)=C1NC1=NCCN1
         Clopidogrel,      60606,      FALSE,    3.800,     57.800, [H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl
         Clorazepate,       2809,       TRUE,    3.300,     78.800, OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
         Clotiazepam,       2811,      FALSE,    3.500,     60.900, CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl
        Clotrimazole,       2812,      FALSE,    5.000,     17.800, ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
         Cloxacillin,       6098,      FALSE,    2.400,    138.000, [H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1Cl)C(O)=O
          Cloxazolam,       2816,      FALSE,    3.200,     41.600, ClC1=CC2=C(NC(=O)CN3CCOC23C2=CC=CC=C2Cl)C=C1
           Clozapine,  135398737,       TRUE,    3.100,     30.900, CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
             Cocaine,     446220,      FALSE,    2.300,     55.800, [H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C
             Codeine,    5284371,       TRUE,    1.100,     41.900, [H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
          Colchicine,       6167,      FALSE,    1.000,     83.100, COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1C(CC2)NC(C)=O
          Conivaptan,     151171,      FALSE,    5.700,     78.100, CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1
            Creatine,        586,      FALSE,   -1.200,     90.400, CN(CC(O)=O)C(N)=N
          Crotamiton,     688020,      FALSE,    2.800,     20.300, CCN(C(=O)C=CC)C1=CC=CC=C1C
         Cyclacillin,      19003,      FALSE,    1.300,    138.000, [H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1(N)CCCCC1)C(O)=O
        Cyclandelate,       2893,      FALSE,    4.200,     46.500, CC1CC(CC(C)(C)C1)OC(=O)C(O)C1=CC=CC=C1
           Cyclizine,       6726,      FALSE,    3.600,      6.500, CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
     Cyclobenzaprine,       2895,       TRUE,    5.200,      3.200, CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12
      Cyclopentolate,       2905,      FALSE,    2.700,     49.800, CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1
    Cyclophosphamide,       2907,      FALSE,    0.600,     41.600, ClCCN(CCCl)P1(=O)NCCCO1
         Cycloserine,       6234,      FALSE,   -1.500,     64.400, N[C@@H]1CONC1=O
       Cyclothiazide,       2910,      FALSE,    2.000,    135.000, NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C1CC2CC1C=C2
           Cycrimine,       2911,      FALSE,    3.900,     23.500, OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1
      Cyproheptadine,       2913,      FALSE,    4.700,      3.200, CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
         Cyproterone,    5284537,      FALSE,    3.100,     54.400, [H][C@@]12C[C@]1([H])[C@@]1(C)C(=CC2=O)C(Cl)=C[C@@]2([H])[C@]3([H])CC[C@](O)(C(C)=O)[C@@]3(C)CC[C@]12[H]
          Cysteamine,       6058,      FALSE,   -0.400,     27.000, NCCS
          Cytarabine,       6253,      FALSE,   -2.100,    129.000, NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
          Dabrafenib,   44462760,      FALSE,    4.800,    148.000, CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1
        Dactinomycin,     457193,      FALSE,    3.800,    356.000, [H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C
       Dalfampridine,       1727,       TRUE,    0.300,     38.900, NC1=CC=NC=C1
             Danazol,      28417,      FALSE,    3.800,     46.300, [H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3
          Dantrolene,    6914273,       TRUE,    1.700,    121.000, [O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O
         Dapiprazole,    3033538,      FALSE,    2.400,     37.200, CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1
             Dapsone,       2955,      FALSE,    1.000,     94.600, NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
         Darifenacin,     444031,       TRUE,    4.600,     55.600, NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1
           Darunavir,     213039,      FALSE,    2.900,    149.000, [H][C@@]12CCO[C@]1([H])OC[C@@H]2OC(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1
           Dasatinib,    3062316,      FALSE,    3.600,    135.000, CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1
        Daunorubicin,      30323,      FALSE,    1.800,    186.000, COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O
         Debrisoquin,       2966,      FALSE,    0.800,     53.100, NC(=N)N1CCC2=CC=CC=C2C1
       Decamethonium,       2968,      FALSE,    3.900,      0.000, C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
          Decitabine,     451668,      FALSE,   -1.200,    121.000, NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1
         Deferasirox,     214348,      FALSE,    3.800,    109.000, OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O
         Deferiprone,       2972,      FALSE,    0.500,     40.500, CN1C=CC(=O)C(O)=C1C
        Deferoxamine,       2973,      FALSE,   -2.100,    206.000, CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
           Degarelix,   16136245,      FALSE,    3.500,    513.000, CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=C(NC(N)=O)C=C1)NC(=O)[C@H](CC1=CC=C(NC(=O)[C@H]2CC(=O)NC(=O)N2)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCCC1C(=O)N[C@H](C)C(N)=O
         Delavirdine,       5625,      FALSE,    2.400,    119.000, CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2
         Delorazepam,      17925,      FALSE,    3.100,     41.500, ClC1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
          Demecarium,       5966,      FALSE,    6.600,     59.100, CN(CCCCCCCCCCN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
      Demeclocycline,   54680690,      FALSE,    0.700,    182.000, [H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C([C@H]2O)C(Cl)=CC=C1O
         Deserpidine,       8550,      FALSE,    4.100,    109.000, [H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2
          Desflurane,      42113,      FALSE,    2.600,      9.200, FC(F)OC(F)C(F)(F)F
         Desipramine,       2995,       TRUE,    4.900,     15.300, CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12
         Deslanoside,      28620,      FALSE,   -0.300,    282.000, C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1
       Desloratadine,     124087,      FALSE,    4.500,     24.900, ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1
         Desogestrel,      40973,      FALSE,    4.900,     20.200, [H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
            Desonide,    5311066,      FALSE,    2.700,     93.100, [H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
      Desoximetasone,    5311067,      FALSE,    2.300,     74.600, [H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
      Desvenlafaxine,     125017,       TRUE,    2.600,     43.700, CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1
       Dexamethasone,       5743,      FALSE,    1.900,     94.800, [H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
  Dexbrompheniramine,      16960,      FALSE,    3.500,     16.100, CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1
     Dexfenfluramine,      66265,      FALSE,    3.400,     12.000, CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F
     Dexmedetomidine,    5311068,      FALSE,    3.100,     28.700, C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1
  Dexmethylphenidate,     154101,       TRUE,    0.200,     38.300, COC(=O)[C@@H]([C@H]1CCCCN1)C1=CC=CC=C1
         Dexrazoxane,      71384,      FALSE,   -1.400,     98.800, C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
   Dextroamphetamine,       5826,       TRUE,    1.800,     26.000, C[C@H](N)CC1=CC=CC=C1
    Dextromethorphan,    5360696,       TRUE,    3.400,     12.500, [H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(OC)C=C2
     Dextrothyroxine,       8730,      FALSE,    2.400,     92.800, N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
